"copula","marginal","rho","d","rep","coverage","ci"
"t","gaussian",0.5,1,20,0.931222222222222,FALSE
"t","gaussian",0.5,1,21,0.909,FALSE
"t","gaussian",0.5,1,22,0.884777777777778,FALSE
"t","gaussian",0.5,1,23,0.873555555555556,FALSE
"t","gaussian",0.5,1,24,0.865888888888889,FALSE
"t","gaussian",0.5,1,25,0.918,FALSE
"t","gaussian",0.5,1,26,0.864,FALSE
"t","gaussian",0.5,1,27,0.950666666666667,FALSE
"t","gaussian",0.5,1,28,0.868111111111111,FALSE
"t","gaussian",0.5,1,29,0.903888888888889,FALSE
"t","gaussian",0.5,1,30,0.932888888888889,FALSE
"t","gaussian",0.5,1,31,0.887333333333333,FALSE
"t","gaussian",0.5,1,32,0.936333333333333,FALSE
"t","gaussian",0.5,1,33,0.934666666666667,FALSE
"t","gaussian",0.5,1,34,0.889555555555556,FALSE
"t","gaussian",0.5,1,35,0.944333333333333,FALSE
"t","gaussian",0.5,1,36,0.916444444444444,FALSE
"t","gaussian",0.5,1,37,0.913666666666667,FALSE
"t","gaussian",0.5,1,38,0.871111111111111,FALSE
"t","gaussian",0.5,1,39,0.874222222222222,FALSE
"t","gaussian",0.5,1,40,0.874555555555556,FALSE
"t","gaussian",0.5,1,41,0.909555555555556,FALSE
"t","gaussian",0.5,1,42,0.870666666666667,FALSE
"t","gaussian",0.5,1,43,0.869,FALSE
"t","gaussian",0.5,1,44,0.904888888888889,FALSE
"t","gaussian",0.5,1,45,0.853777777777778,FALSE
"t","gaussian",0.5,1,46,0.885777777777778,FALSE
"t","gaussian",0.5,1,47,0.874777777777778,FALSE
"t","gaussian",0.5,1,48,0.959777777777778,FALSE
"t","gaussian",0.5,1,49,0.890555555555556,FALSE
"t","gaussian",0.5,1,50,0.795222222222222,FALSE
"t","gaussian",0.75,1,1,0.919777777777778,FALSE
"t","gaussian",0.75,1,2,0.884888888888889,FALSE
"t","gaussian",0.75,1,3,0.806666666666667,FALSE
"t","gaussian",0.75,1,4,0.876444444444444,FALSE
"t","gaussian",0.75,1,5,0.862333333333333,FALSE
"t","gaussian",0.75,1,6,0.909333333333333,FALSE
"t","gaussian",0.75,1,7,0.922333333333333,FALSE
