"","Coverage","Width","Method","Rho"
"1028",0.884353741496599,4.95708699178824,"DR","rho = 0"
"1029",0.843537414965986,4.49459292892935,"DR","rho = 0"
"1030",0.904761904761905,4.54569576348396,"DR","rho = 0"
"1031",0.931972789115646,7.49639608856238,"DR","rho = 0"
"1032",0.829931972789116,5.71520707094127,"DR","rho = 0"
"1033",0.891156462585034,8.063144931546,"DR","rho = 0"
"1034",0.884353741496599,5.99389289710879,"DR","rho = 0"
"1035",0.850340136054422,10.894607440925,"DR","rho = 0"
"1036",0.904761904761905,17.210371549418,"DR","rho = 0"
"1037",0.877551020408163,14.393540782963,"DR","rho = 0"
"1038",0.877551020408163,6.66348450664735,"DR","rho = 0"
"1039",0.91156462585034,9.61664681889676,"DR","rho = 0"
"1040",0.863945578231292,39.5924290568521,"DR","rho = 0"
"1041",0.843537414965986,13.0532223888134,"DR","rho = 0"
"1042",0.863945578231292,13.0120502114039,"DR","rho = 0"
"1043",0.91156462585034,8.00754124345756,"DR","rho = 0"
"1044",0.891156462585034,9.17344385338229,"DR","rho = 0"
"1045",0.884353741496599,10.4641442916538,"DR","rho = 0"
"1046",0.80952380952381,4.43274395945817,"DR","rho = 0"
"1047",0.863945578231292,8.54202557573888,"DR","rho = 0"
"1048",0.897959183673469,7.71307449624261,"DR","rho = 0"
"1049",0.891156462585034,7.21950173786399,"DR","rho = 0"
"1050",0.789115646258503,4.51201717415373,"DR","rho = 0"
"1051",0.931972789115646,7.07895674689598,"CW_rho","rho = -0.5"
"1052",0.897959183673469,20.138048060171,"CW_rho","rho = -0.5"
"1053",0.863945578231292,14.9632039963442,"CW_rho","rho = -0.5"
"1054",0.959183673469388,9.22733897487429,"CW_rho","rho = -0.5"
"1055",0.918367346938776,21.9105711773249,"CW_rho","rho = -0.5"
"1056",0.938775510204082,7.93410317544269,"CW_rho","rho = -0.5"
"1057",0.938775510204082,7.5872160776528,"CW_rho","rho = -0.5"
"1058",0.945578231292517,7.41453058126003,"CW_rho","rho = -0.5"
"1059",0.857142857142857,6.33161097788381,"CW_rho","rho = -0.5"
"1060",0.836734693877551,11.7637460043043,"CW_rho","rho = -0.5"
"1061",0.938775510204082,7.48776429921729,"CW_rho","rho = -0.5"
"1062",0.897959183673469,6.35414386587913,"CW_rho","rho = -0.5"
"1063",0.931972789115646,20.6896387888189,"CW_rho","rho = -0.5"
"1064",0.931972789115646,7.21694248578414,"CW_rho","rho = -0.5"
"1065",0.884353741496599,6.45157682222384,"CW_rho","rho = -0.5"
"1066",0.918367346938776,12.7346426979331,"CW_rho","rho = -0.5"
"1067",0.959183673469388,12.8413032037403,"CW_rho","rho = -0.5"
"1068",0.931972789115646,6.23625122046988,"CW_rho","rho = -0.5"
"1069",0.884353741496599,8.25798194726211,"CW_rho","rho = -0.5"
"1070",0.904761904761905,10.216119483511,"CW_rho","rho = -0.5"
"1071",0.952380952380952,10.0196948866715,"CW_rho","rho = -0.5"
"1072",0.877551020408163,7.60849014289654,"CW_rho","rho = -0.5"
"1073",0.925170068027211,8.39381063140482,"CW_rho","rho = -0.5"
"1074",0.884353741496599,5.98039555737054,"CW_rho","rho = -0.5"
